	mass_A
t	x	y
1.100000e1	8.994988e-3	4.306833e-4
1.104000e1	-3.281013e-3	4.094001e-4
1.108000e1	-1.555558e-2	1.268137e-3
1.112000e1	-2.741315e-2	2.211176e-3
1.116000e1	-3.879796e-2	3.958403e-3
1.120000e1	-3.879635e-2	3.985809e-3
1.124000e1	-4.936173e-2	4.911799e-3
1.128000e1	-5.855801e-2	6.559736e-3
1.132000e1	-6.645920e-2	7.473166e-3
1.136000e1	-7.304023e-2	8.357742e-3
1.140000e1	-7.787454e-2	9.214576e-3
1.144000e1	-7.787081e-2	9.215714e-3
1.148000e1	-8.048575e-2	1.007936e-2
1.152000e1	-8.136478e-2	1.008953e-2
1.156000e1	-8.047036e-2	9.696660e-3
1.160000e1	-7.696046e-2	9.572770e-3
1.164000e1	-7.175512e-2	8.705005e-3
1.168000e1	-7.174781e-2	8.681374e-3
1.172000e1	-6.553139e-2	7.068650e-3
1.176000e1	-5.727876e-2	6.161937e-3
1.180000e1	-4.802877e-2	5.275640e-3
1.184000e1	-3.750011e-2	3.527711e-3
1.188000e1	-2.610626e-2	1.772288e-3
1.192000e1	-2.610618e-2	1.775421e-3
1.196000e1	-1.425973e-2	8.650129e-4
1.200000e1	-2.401657e-3	-6.236235e-6
1.204000e1	9.443390e-3	1.926088e-6
1.208000e1	2.127428e-2	4.147483e-5
1.212000e1	3.262876e-2	9.850497e-4
1.216000e1	3.262260e-2	1.018463e-3
1.220000e1	4.277734e-2	1.800752e-3
1.224000e1	5.196713e-2	2.611870e-3
1.228000e1	5.944747e-2	2.647999e-3
1.232000e1	6.558731e-2	4.362323e-3
1.236000e1	6.909665e-2	4.374487e-3
1.240000e1	6.910611e-2	4.366043e-3
1.244000e1	7.216533e-2	4.429325e-3
1.248000e1	7.347195e-2	4.838823e-3
1.252000e1	7.260033e-2	4.821640e-3
1.256000e1	6.953991e-2	4.017430e-3
1.260000e1	6.512054e-2	3.865962e-3
1.264000e1	6.511989e-2	3.855827e-3
1.268000e1	5.896292e-2	3.023839e-3
1.272000e1	5.111348e-2	2.189854e-3
1.276000e1	4.189071e-2	2.171109e-3
1.280000e1	3.178548e-2	1.325085e-3
1.284000e1	2.038996e-2	4.482653e-4
1.288000e1	2.038881e-2	4.525453e-4
