	mass_A
t	x	y
1.920000e1	-3.145325e-2	4.174723e-3
1.924000e1	-2.875330e-2	3.418619e-3
1.928000e1	-2.520608e-2	3.294619e-3
1.932000e1	-2.131260e-2	3.251854e-3
1.936000e1	-1.778044e-2	2.579272e-3
1.940000e1	-1.380601e-2	2.423887e-3
1.944000e1	-9.450672e-3	2.348177e-3
1.948000e1	-5.464096e-3	2.345315e-3
1.952000e1	-1.106860e-3	2.354563e-3
1.956000e1	3.259705e-3	2.376880e-3
1.960000e1	7.266762e-3	2.423087e-3
1.964000e1	1.121793e-2	2.449339e-3
1.968000e1	1.471023e-2	2.484331e-3
1.972000e1	1.776101e-2	2.509359e-3
1.976000e1	2.035689e-2	2.525762e-3
1.980000e1	2.252964e-2	2.537204e-3
1.984000e1	2.396154e-2	2.500360e-3
1.988000e1	2.480353e-2	2.416915e-3
1.992000e1	2.512213e-2	2.460509e-3
1.996000e1	2.470449e-2	2.403397e-3
2.000000e1	2.356731e-2	2.132381e-3
2.004000e1	2.180940e-2	2.038048e-3
2.008000e1	1.958886e-2	2.042549e-3
2.012000e1	1.688045e-2	2.026269e-3
2.016000e1	1.383535e-2	2.015889e-3
2.020000e1	1.030164e-2	2.018211e-3
2.024000e1	6.401858e-3	1.968878e-3
2.028000e1	2.380937e-3	1.967919e-3
2.032000e1	-1.909532e-3	1.993840e-3
2.036000e1	-5.917633e-3	2.071086e-3
2.040000e1	-1.029874e-2	2.086472e-3
2.044000e1	-1.425306e-2	2.190125e-3
2.048000e1	-1.820099e-2	2.146786e-3
2.052000e1	-2.167394e-2	2.744364e-3
2.056000e1	-2.484499e-2	2.854115e-3
2.060000e1	-2.826102e-2	2.873913e-3
2.064000e1	-3.048551e-2	3.699218e-3
2.068000e1	-3.273702e-2	3.764051e-3
2.072000e1	-3.484283e-2	3.751851e-3
2.076000e1	-3.577816e-2	4.615171e-3
2.080000e1	-3.666087e-2	4.608870e-3
2.084000e1	-3.701176e-2	4.619953e-3
2.088000e1	-3.663499e-2	4.286887e-3
2.092000e1	-3.559738e-2	4.202340e-3
2.096000e1	-3.409994e-2	4.170769e-3
2.100000e1	-3.213711e-2	4.013696e-3
2.104000e1	-3.005447e-2	3.427153e-3
2.108000e1	-2.733443e-2	3.253882e-3
2.112000e1	-2.427876e-2	3.194185e-3
2.116000e1	-2.129385e-2	2.576588e-3
2.120000e1	-1.776247e-2	2.441161e-3
2.124000e1	-1.422841e-2	2.297794e-3
2.128000e1	-1.031765e-2	2.292324e-3
2.132000e1	-6.343113e-3	1.685949e-3
2.136000e1	-2.375545e-3	1.595703e-3
2.140000e1	1.566981e-3	1.587896e-3
2.144000e1	5.459225e-3	1.572030e-3
2.148000e1	9.045501e-3	1.597208e-3
2.152000e1	1.240101e-2	1.608615e-3
2.156000e1	1.513552e-2	1.643001e-3
2.160000e1	1.739634e-2	1.642565e-3
2.164000e1	1.939704e-2	1.625062e-3
2.168000e1	2.087537e-2	1.606923e-3
2.172000e1	2.178933e-2	1.564077e-3
2.176000e1	2.224047e-2	1.572612e-3
2.180000e1	2.203063e-2	1.538940e-3
2.184000e1	2.128059e-2	1.850375e-3
2.188000e1	2.007933e-2	1.861166e-3
2.192000e1	1.828860e-2	1.920979e-3
2.196000e1	1.604277e-2	1.952268e-3
2.200000e1	1.346662e-2	1.938390e-3
2.204000e1	1.037520e-2	1.933713e-3
2.208000e1	7.154764e-3	1.934502e-3
2.212000e1	3.379020e-3	1.967171e-3
2.216000e1	-2.656698e-4	1.975499e-3
2.220000e1	-4.169621e-3	2.001838e-3
2.224000e1	-8.087588e-3	2.016612e-3
2.228000e1	-1.169338e-2	2.135005e-3
2.232000e1	-1.519002e-2	2.137233e-3
2.236000e1	-1.866682e-2	2.177865e-3
2.240000e1	-2.174054e-2	2.133621e-3
2.244000e1	-2.434099e-2	2.761267e-3
2.248000e1	-2.700775e-2	2.851465e-3
2.252000e1	-2.924463e-2	2.934595e-3
2.256000e1	-3.140265e-2	2.917194e-3
2.260000e1	-3.311954e-2	2.917593e-3
2.264000e1	-3.402240e-2	2.918244e-3
2.268000e1	-3.449627e-2	2.910637e-3
2.272000e1	-3.446451e-2	3.249204e-3
2.276000e1	-3.411257e-2	3.289983e-3
2.280000e1	-3.327047e-2	3.247808e-3
2.284000e1	-3.208256e-2	3.056853e-3
2.288000e1	-3.050631e-2	2.860270e-3
2.292000e1	-2.831639e-2	2.808480e-3
2.296000e1	-2.605403e-2	2.739775e-3
2.300000e1	-2.309259e-2	2.707884e-3
2.304000e1	-2.080829e-2	2.125570e-3
2.308000e1	-1.773943e-2	2.063904e-3
2.312000e1	-1.428700e-2	1.915644e-3
2.316000e1	-1.114699e-2	1.854563e-3
2.320000e1	-7.268314e-3	1.850253e-3
2.324000e1	-3.752553e-3	1.883326e-3
2.328000e1	-2.336069e-4	1.936904e-3
2.332000e1	3.257327e-3	1.933258e-3
2.336000e1	6.435245e-3	1.979019e-3
2.340000e1	9.771186e-3	1.958848e-3
2.344000e1	1.240510e-2	1.987912e-3
2.348000e1	1.467220e-2	2.018054e-3
2.352000e1	1.645065e-2	2.041139e-3
2.356000e1	1.773860e-2	2.056892e-3
2.360000e1	1.870749e-2	2.009242e-3
2.364000e1	1.915759e-2	2.007157e-3
2.368000e1	1.921794e-2	1.989391e-3
2.372000e1	1.893509e-2	1.995678e-3
2.376000e1	1.820098e-2	1.969003e-3
2.380000e1	1.702688e-2	1.938897e-3
2.384000e1	1.556022e-2	1.932067e-3
2.388000e1	1.372039e-2	1.943802e-3
2.392000e1	1.124046e-2	1.964065e-3
2.396000e1	8.525824e-3	1.930189e-3
